"id","altura","peso","IMC","sexo","escolaridade","profissao","fumante.f","fumante.n","salario","carros","filhos"
"42",42,1.8,75,23.1481481481481,"F","3º Grau","Exatas","Sim",1,2996.82,2,0
"43",43,1.8,75,23.1481481481481,"M","3º Grau","Humanas","Não",0,2856.64,1,0
"44",44,1.8,75,23.1481481481481,"M","1º Grau","Humanas","Sim",1,3332.41,1,0
"45",45,1.8,75,23.1481481481481,"M","Doutorado","Exatas","Não",0,2724.23,0,2
"46",46,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Não",0,3388.09,3,1
"47",47,1.8,75,23.1481481481481,"M","Mestrado","Exatas","Sim",1,2658.4,2,0
"48",48,1.8,75,23.1481481481481,"M","Doutorado","Biológicas","Não",0,2909.32,2,0
"49",49,1.8,75,23.1481481481481,"F","1º Grau","Exatas","Não",0,3223.89,1,2
"50",50,1.8,75,23.1481481481481,"F","1º Grau","Exatas","Sim",1,3007.38,0,1
"51",51,1.8,75,23.1481481481481,"M","PósDoc","Humanas","Não",0,3905.45,2,2
"52",52,1.8,75,23.1481481481481,"F","1º Grau","Humanas","Não",0,3598,1,1
"53",53,1.8,75,23.1481481481481,"F","3º Grau","Exatas","Sim",1,3397.05,3,2
"54",54,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Não",0,3604.82,2,2
"55",55,1.8,75,23.1481481481481,"F","2º Grau","Biológicas","Não",0,2890.94,1,2
"56",56,1.8,75,23.1481481481481,"F","Mestrado","Exatas","Não",0,2958.15,0,0
"57",57,1.8,75,23.1481481481481,"M","Mestrado","Exatas","Não",0,3105.56,2,2
"58",58,1.8,75,23.1481481481481,"F","3º Grau","Exatas","Sim",1,2922.34,2,1
"59",59,1.8,75,23.1481481481481,"F","3º Grau","Biológicas","Não",0,3225.84,2,0
"60",60,1.8,75,23.1481481481481,"F","2º Grau","Exatas","Sim",1,3301.79,3,1
"61",61,1.8,75,23.1481481481481,"M","3º Grau","Exatas","Sim",1,3096.02,3,2
"62",62,1.8,75,23.1481481481481,"M","Doutorado","Biológicas","Não",0,3021.98,0,0
"63",63,1.8,75,23.1481481481481,"F","1º Grau","Humanas","Não",0,2967.69,3,2
"64",64,1.8,75,23.1481481481481,"M","PósDoc","Exatas","Não",0,2583.79,3,0
"65",65,1.8,75,23.1481481481481,"F","1º Grau","Exatas","Não",0,3240.08,2,1
"66",66,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Sim",1,3477.83,3,0
"67",67,1.8,75,23.1481481481481,"F","PósDoc","Exatas","Não",0,3533.18,2,2
"68",68,1.8,75,23.1481481481481,"M","PósDoc","Humanas","Não",0,4057.32,3,2
"69",69,1.8,75,23.1481481481481,"F","1º Grau","Exatas","Não",0,2929.62,3,1
"70",70,1.8,75,23.1481481481481,"M","Doutorado","Exatas","Não",0,3046.44,0,2
"71",71,1.8,75,23.1481481481481,"M","PósDoc","Biológicas","Não",0,3744.64,1,1
"72",72,1.8,75,23.1481481481481,"M","1º Grau","Biológicas","Sim",1,3278.5,3,2
"73",73,1.8,75,23.1481481481481,"M","1º Grau","Biológicas","Não",0,2558.54,3,0
"74",74,1.8,75,23.1481481481481,"F","Doutorado","Exatas","Sim",1,3257.85,0,2
"75",75,1.8,75,23.1481481481481,"F","PósDoc","Exatas","Não",0,3441.63,2,2
"76",76,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Não",0,3280.12,2,1
"77",77,1.8,75,23.1481481481481,"M","Doutorado","Biológicas","Não",0,3256.58,3,2
"78",78,1.8,75,23.1481481481481,"M","2º Grau","Humanas","Não",0,2916.34,1,0
"79",79,1.8,75,23.1481481481481,"M","1º Grau","Biológicas","Não",0,3184.45,1,2
"80",80,1.8,75,23.1481481481481,"F","2º Grau","Exatas","Sim",1,3095.95,0,1
"81",81,1.8,75,23.1481481481481,"M","Mestrado","Biológicas","Sim",1,2993.81,0,2
"82",82,1.8,75,23.1481481481481,"M","3º Grau","Biológicas","Não",0,2634.14,0,1
"83",83,1.8,75,23.1481481481481,"M","Doutorado","Biológicas","Não",0,3131.1,3,0
"84",84,1.8,75,23.1481481481481,"M","PósDoc","Biológicas","Não",0,2711.78,0,0
"85",85,1.8,75,23.1481481481481,"F","Mestrado","Biológicas","Não",0,3129.39,0,2
"86",86,1.8,75,23.1481481481481,"M","Mestrado","Exatas","Sim",1,2611.19,1,1
"87",87,1.8,75,23.1481481481481,"M","2º Grau","Exatas","Não",0,2925.31,1,2
"88",88,1.8,75,23.1481481481481,"F","2º Grau","Biológicas","Não",0,3603.33,3,0
"89",89,1.8,75,23.1481481481481,"F","2º Grau","Humanas","Não",0,2483.71,1,0
"90",90,1.8,75,23.1481481481481,"M","Doutorado","Humanas","Sim",1,3466.72,3,1
"91",91,1.8,75,23.1481481481481,"M","PósDoc","Humanas","Não",0,3714.62,3,1
"92",92,1.8,75,23.1481481481481,"F","3º Grau","Biológicas","Sim",1,2497.61,2,2
"93",93,1.8,75,23.1481481481481,"F","3º Grau","Biológicas","Não",0,2660.22,3,1
"94",94,1.8,75,23.1481481481481,"F","2º Grau","Exatas","Não",0,2476.17,2,1
"95",95,1.8,75,23.1481481481481,"M","1º Grau","Biológicas","Não",0,2686.67,0,1
"96",96,1.8,75,23.1481481481481,"M","PósDoc","Exatas","Não",0,2830.78,3,1
"97",97,1.8,75,23.1481481481481,"M","1º Grau","Exatas","Não",0,2619.23,3,0
"98",98,1.8,75,23.1481481481481,"F","Mestrado","Biológicas","Não",0,3380.83,0,2
"99",99,1.8,75,23.1481481481481,"M","Doutorado","Humanas","Não",0,2680.16,2,2
"100",100,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Sim",1,2459.03,1,1
"101",101,1.8,75,23.1481481481481,"F","Doutorado","Humanas","Não",0,2431.51,0,0
"102",102,1.8,75,23.1481481481481,"F","PósDoc","Exatas","Não",0,2543.48,1,1
"103",103,1.8,75,23.1481481481481,"M","3º Grau","Humanas","Não",0,3215.15,1,0
"104",104,1.8,75,23.1481481481481,"F","1º Grau","Biológicas","Não",0,3494.25,2,0
"105",105,1.8,75,23.1481481481481,"M","2º Grau","Exatas","Não",0,2661.76,0,2
"106",106,1.8,75,23.1481481481481,"F","Doutorado","Exatas","Não",0,3526.15,2,0
"107",107,1.8,75,23.1481481481481,"M","Mestrado","Exatas","Não",0,3624.15,1,0
"108",108,1.8,75,23.1481481481481,"F","PósDoc","Biológicas","Não",0,3121.96,1,0
"109",109,1.8,75,23.1481481481481,"M","3º Grau","Exatas","Não",0,2502.9,1,2
"110",110,1.8,75,23.1481481481481,"M","Doutorado","Humanas","Não",0,2822.27,2,0
"111",111,1.8,75,23.1481481481481,"M","3º Grau","Humanas","Sim",1,2300.58,2,2
"112",112,1.8,75,23.1481481481481,"F","2º Grau","Humanas","Não",0,3637.69,3,1
"113",113,1.8,75,23.1481481481481,"F","3º Grau","Biológicas","Sim",1,2396.55,2,2
"114",114,1.8,75,23.1481481481481,"M","2º Grau","Exatas","Não",0,2793.56,1,1
"115",115,1.8,75,23.1481481481481,"F","1º Grau","Biológicas","Não",0,2755.88,0,1
"116",116,1.8,75,23.1481481481481,"M","2º Grau","Humanas","Sim",1,3099.95,3,2
"117",117,1.8,75,23.1481481481481,"M","3º Grau","Humanas","Sim",1,2560.68,0,1
"118",118,1.8,75,23.1481481481481,"M","3º Grau","Humanas","Não",0,3555.02,0,0
"119",119,1.8,75,23.1481481481481,"F","PósDoc","Exatas","Não",0,2987.79,2,2
"120",120,1.8,75,23.1481481481481,"M","3º Grau","Biológicas","Sim",1,2742.19,0,1
"121",121,1.8,75,23.1481481481481,"F","1º Grau","Biológicas","Sim",1,3447.43,0,0
"122",122,1.8,75,23.1481481481481,"M","Doutorado","Exatas","Sim",1,3418.55,1,1
"123",123,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Sim",1,2258.19,0,0
"124",124,1.8,75,23.1481481481481,"M","Doutorado","Exatas","Sim",1,2040.6,1,1
"125",125,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Não",0,3565.53,3,2
"126",126,1.8,75,23.1481481481481,"F","1º Grau","Biológicas","Não",0,3008.09,1,0
"127",127,1.8,75,23.1481481481481,"F","3º Grau","Humanas","Não",0,3132.53,2,1
"128",128,1.8,75,23.1481481481481,"F","Mestrado","Exatas","Não",0,2536.49,3,1
"129",129,1.8,75,23.1481481481481,"M","3º Grau","Exatas","Não",0,2633.81,2,2
"130",130,1.8,75,23.1481481481481,"F","2º Grau","Humanas","Não",0,2807.68,3,1
"131",131,1.8,75,23.1481481481481,"M","1º Grau","Exatas","Sim",1,3083.93,0,0
"132",132,1.8,75,23.1481481481481,"F","Doutorado","Humanas","Sim",1,3109.26,1,2
"133",133,1.8,75,23.1481481481481,"M","1º Grau","Biológicas","Não",0,3184.67,0,1
"134",134,1.8,75,23.1481481481481,"F","3º Grau","Humanas","Não",0,3005.79,2,1
"135",135,1.8,75,23.1481481481481,"M","Doutorado","Exatas","Sim",1,3262.05,2,2
"136",136,1.8,75,23.1481481481481,"M","Mestrado","Exatas","Não",0,2462.33,1,0
"137",137,1.8,75,23.1481481481481,"F","1º Grau","Exatas","Sim",1,3071.48,2,1
"138",138,1.8,75,23.1481481481481,"M","PósDoc","Exatas","Não",0,2675.64,1,1
"139",139,1.8,75,23.1481481481481,"M","Mestrado","Biológicas","Sim",1,3037.42,2,0
"140",140,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Sim",1,2847.05,2,0
"141",141,1.8,75,23.1481481481481,"M","Mestrado","Biológicas","Não",0,2894.69,2,0
"142",142,1.8,75,23.1481481481481,"M","Doutorado","Humanas","Sim",1,3371.89,1,2
"143",143,1.8,75,23.1481481481481,"F","Doutorado","Exatas","Não",0,3360.92,3,2
"144",144,1.8,75,23.1481481481481,"M","PósDoc","Biológicas","Não",0,3169.29,1,1
"145",145,1.8,75,23.1481481481481,"M","1º Grau","Humanas","Não",0,2375.1,1,1
"146",146,1.8,75,23.1481481481481,"M","1º Grau","Humanas","Sim",1,2996.71,3,2
"147",147,1.8,75,23.1481481481481,"M","2º Grau","Humanas","Sim",1,3023.23,2,1
"148",148,1.8,75,23.1481481481481,"F","2º Grau","Humanas","Não",0,2432.6,3,1
"149",149,1.8,75,23.1481481481481,"M","PósDoc","Biológicas","Sim",1,4020.48,0,0
"150",150,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Não",0,2278.46,2,2
"151",151,1.8,75,23.1481481481481,"M","Mestrado","Humanas","Não",0,2537.77,2,2
"152",152,1.8,75,23.1481481481481,"M","1º Grau","Exatas","Não",0,2777.36,1,2
"153",153,1.8,75,23.1481481481481,"F","2º Grau","Exatas","Não",0,2533.1,2,2
"154",154,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Sim",1,2839.4,0,2
"155",155,1.8,75,23.1481481481481,"M","Mestrado","Biológicas","Não",0,3206.07,2,1
"156",156,1.8,75,23.1481481481481,"F","PósDoc","Biológicas","Sim",1,2903.81,2,0
"157",157,1.8,75,23.1481481481481,"F","PósDoc","Exatas","Sim",1,2511.74,3,0
"158",158,1.8,75,23.1481481481481,"M","Mestrado","Exatas","Sim",1,2677.33,1,1
"159",159,1.8,75,23.1481481481481,"M","PósDoc","Humanas","Não",0,2875.89,2,2
"160",160,1.8,75,23.1481481481481,"M","2º Grau","Exatas","Não",0,2904.48,0,2
"161",161,1.8,75,23.1481481481481,"M","2º Grau","Humanas","Não",0,2712.5,2,0
"162",162,1.8,75,23.1481481481481,"F","1º Grau","Biológicas","Não",0,3129.8,2,0
"163",163,1.8,75,23.1481481481481,"M","1º Grau","Humanas","Não",0,3245.43,2,2
"164",164,1.8,75,23.1481481481481,"F","Mestrado","Biológicas","Não",0,2713.15,3,1
"165",165,1.8,75,23.1481481481481,"F","Doutorado","Humanas","Não",0,2240.31,1,2
"166",166,1.8,75,23.1481481481481,"M","1º Grau","Biológicas","Sim",1,3074.73,3,2
"167",167,1.8,75,23.1481481481481,"M","Mestrado","Humanas","Não",0,2924.88,0,2
"168",168,1.8,75,23.1481481481481,"F","3º Grau","Biológicas","Não",0,2905.75,3,0
"169",169,1.8,75,23.1481481481481,"F","Doutorado","Humanas","Sim",1,3810.35,3,0
"170",170,1.8,75,23.1481481481481,"F","2º Grau","Humanas","Não",0,2753.72,2,2
"171",171,1.8,75,23.1481481481481,"F","3º Grau","Exatas","Sim",1,2368.52,0,1
"172",172,1.8,75,23.1481481481481,"F","2º Grau","Biológicas","Não",0,2842.7,1,2
"173",173,1.8,75,23.1481481481481,"F","PósDoc","Humanas","Sim",1,3015.47,0,0
"174",174,1.8,75,23.1481481481481,"M","1º Grau","Humanas","Não",0,3554.95,1,0
"175",175,1.8,75,23.1481481481481,"F","Mestrado","Exatas","Não",0,3114.54,0,2
"176",176,1.8,75,23.1481481481481,"F","2º Grau","Biológicas","Sim",1,2818.55,0,1
"177",177,1.8,75,23.1481481481481,"M","Mestrado","Biológicas","Não",0,2908.93,1,2
"178",178,1.8,75,23.1481481481481,"M","PósDoc","Exatas","Não",0,3065.41,1,1
"179",179,1.8,75,23.1481481481481,"F","Mestrado","Exatas","Não",0,3226.17,2,2
"180",180,1.8,75,23.1481481481481,"M","1º Grau","Exatas","Não",0,3148.38,2,0
"181",181,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Não",0,2472.98,0,1
"182",182,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Não",0,3004.72,1,2
"183",183,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Sim",1,2757.39,0,1
"184",184,1.8,75,23.1481481481481,"M","Doutorado","Exatas","Não",0,3288.8,0,0
"185",185,1.8,75,23.1481481481481,"M","2º Grau","Humanas","Sim",1,2674.64,0,0
"186",186,1.8,75,23.1481481481481,"M","2º Grau","Exatas","Não",0,3140.54,2,2
"187",187,1.8,75,23.1481481481481,"F","Mestrado","Biológicas","Sim",1,2930.28,0,0
"188",188,1.8,75,23.1481481481481,"M","Mestrado","Exatas","Sim",1,3556.01,3,2
"189",189,1.8,75,23.1481481481481,"F","3º Grau","Biológicas","Não",0,3154.09,0,1
"190",190,1.8,75,23.1481481481481,"M","Mestrado","Humanas","Sim",1,2401.36,0,2
"191",191,1.8,75,23.1481481481481,"F","Doutorado","Exatas","Sim",1,2076,3,2
"192",192,1.8,75,23.1481481481481,"M","Mestrado","Humanas","Sim",1,2516.42,2,2
"193",193,1.8,75,23.1481481481481,"M","Doutorado","Biológicas","Não",0,3190.99,1,1
"194",194,1.8,75,23.1481481481481,"M","Doutorado","Humanas","Sim",1,2538.32,1,2
"195",195,1.8,75,23.1481481481481,"M","1º Grau","Humanas","Sim",1,3256.37,3,1
"196",196,1.8,75,23.1481481481481,"F","3º Grau","Exatas","Sim",1,2964.96,0,0
"197",197,1.8,75,23.1481481481481,"M","2º Grau","Exatas","Sim",1,2352.21,1,1
"198",198,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Sim",1,2429.22,3,2
"199",199,1.8,75,23.1481481481481,"F","3º Grau","Exatas","Sim",1,2779.15,1,1
"200",200,1.8,75,23.1481481481481,"F","Doutorado","Exatas","Sim",1,3450.2,3,1
"201",201,1.8,75,23.1481481481481,"F","PósDoc","Exatas","Sim",1,4234.65,3,1
"202",202,1.8,75,23.1481481481481,"F","1º Grau","Biológicas","Não",0,2845.43,2,1
"203",203,1.8,75,23.1481481481481,"M","3º Grau","Exatas","Não",0,3165.5,3,1
"204",204,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Sim",1,2740.82,3,2
"205",205,1.8,75,23.1481481481481,"M","Doutorado","Humanas","Não",0,2406.71,0,2
"206",206,1.8,75,23.1481481481481,"F","1º Grau","Exatas","Sim",1,3135.6,1,0
"207",207,1.8,75,23.1481481481481,"M","1º Grau","Exatas","Não",0,2456.87,3,2
"208",208,1.8,75,23.1481481481481,"F","1º Grau","Humanas","Não",0,3153.41,0,1
"209",209,1.8,75,23.1481481481481,"M","2º Grau","Humanas","Não",0,3540.89,0,0
"210",210,1.8,75,23.1481481481481,"M","Doutorado","Humanas","Sim",1,3239.9,2,1
"211",211,1.8,75,23.1481481481481,"F","2º Grau","Biológicas","Não",0,3066.81,3,1
"212",212,1.8,75,23.1481481481481,"F","1º Grau","Humanas","Não",0,3276.6,3,2
"213",213,1.8,75,23.1481481481481,"F","1º Grau","Humanas","Não",0,3224.28,1,1
"214",214,1.8,75,23.1481481481481,"M","2º Grau","Humanas","Sim",1,2805.75,2,0
"215",215,1.8,75,23.1481481481481,"M","PósDoc","Exatas","Não",0,2773.84,1,2
"216",216,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Sim",1,3150.51,3,0
"217",217,1.8,75,23.1481481481481,"F","PósDoc","Humanas","Sim",1,2833.34,1,0
"218",218,1.8,75,23.1481481481481,"F","1º Grau","Biológicas","Sim",1,2893.84,2,0
"219",219,1.8,75,23.1481481481481,"M","PósDoc","Humanas","Não",0,2178.07,1,2
"220",220,1.8,75,23.1481481481481,"M","Mestrado","Exatas","Sim",1,2006.5,3,0
"221",221,1.8,75,23.1481481481481,"F","PósDoc","Exatas","Não",0,2354.57,1,2
"222",222,1.8,75,23.1481481481481,"M","Mestrado","Humanas","Não",0,3365.09,2,2
"223",223,1.8,75,23.1481481481481,"M","1º Grau","Biológicas","Não",0,3807.46,2,2
"224",224,1.8,75,23.1481481481481,"M","1º Grau","Exatas","Não",0,3387,3,2
"225",225,1.8,75,23.1481481481481,"F","1º Grau","Exatas","Não",0,2933.6,1,0
"226",226,1.8,75,23.1481481481481,"F","2º Grau","Exatas","Não",0,2645.98,1,2
"227",227,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Sim",1,2847.92,3,0
"228",228,1.8,75,23.1481481481481,"F","1º Grau","Humanas","Não",0,2486.69,0,1
"229",229,1.8,75,23.1481481481481,"F","1º Grau","Humanas","Não",0,3211.85,2,0
"230",230,1.8,75,23.1481481481481,"F","Doutorado","Humanas","Não",0,2984.73,2,1
"231",231,1.8,75,23.1481481481481,"M","3º Grau","Humanas","Sim",1,3529.92,1,2
"232",232,1.8,75,23.1481481481481,"M","3º Grau","Biológicas","Não",0,2868.16,0,0
"233",233,1.8,75,23.1481481481481,"M","Doutorado","Exatas","Não",0,2704.77,0,1
"234",234,1.8,75,23.1481481481481,"F","3º Grau","Humanas","Sim",1,3047.09,3,1
"235",235,1.8,75,23.1481481481481,"M","Mestrado","Exatas","Não",0,3365.36,2,2
"236",236,1.8,75,23.1481481481481,"M","PósDoc","Biológicas","Não",0,2404.01,1,2
"237",237,1.8,75,23.1481481481481,"M","PósDoc","Exatas","Sim",1,3042.3,0,1
"238",238,1.8,75,23.1481481481481,"M","PósDoc","Humanas","Não",0,3238.14,0,2
"239",239,1.8,75,23.1481481481481,"F","1º Grau","Biológicas","Não",0,2193.35,3,0
"240",240,1.8,75,23.1481481481481,"M","1º Grau","Biológicas","Sim",1,3136.86,1,2
"241",241,1.8,75,23.1481481481481,"M","2º Grau","Biológicas","Não",0,2356.54,3,2
"242",242,1.8,75,23.1481481481481,"F","Doutorado","Humanas","Não",0,3157.75,1,2
"243",243,1.8,75,23.1481481481481,"F","3º Grau","Humanas","Não",0,2809.79,0,0
"244",244,1.8,75,23.1481481481481,"F","PósDoc","Biológicas","Sim",1,3105.05,0,2
"245",245,1.8,75,23.1481481481481,"M","3º Grau","Biológicas","Sim",1,2655.5,0,1
"246",246,1.8,75,23.1481481481481,"F","1º Grau","Humanas","Não",0,2604.35,1,0
"247",247,1.8,75,23.1481481481481,"F","Mestrado","Biológicas","Sim",1,2356,1,2
"248",248,1.8,75,23.1481481481481,"M","1º Grau","Humanas","Não",0,2663.8,2,1
"249",249,1.8,75,23.1481481481481,"F","Doutorado","Humanas","Sim",1,3354.28,2,2
"250",250,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Sim",1,3427.67,3,1
"251",251,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Não",0,2645.15,2,1
"252",252,1.8,75,23.1481481481481,"F","2º Grau","Exatas","Não",0,2865.44,2,2
"253",253,1.8,75,23.1481481481481,"F","2º Grau","Biológicas","Não",0,2909.06,1,1
"254",254,1.8,75,23.1481481481481,"M","Mestrado","Exatas","Não",0,3476.6,2,2
"255",255,1.8,75,23.1481481481481,"M","Doutorado","Biológicas","Não",0,2913.59,3,1
"256",256,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Não",0,2801.68,0,2
"257",257,1.8,75,23.1481481481481,"M","PósDoc","Biológicas","Não",0,2434,0,1
"258",258,1.8,75,23.1481481481481,"M","2º Grau","Exatas","Não",0,3292.2,2,0
"259",259,1.8,75,23.1481481481481,"F","PósDoc","Biológicas","Não",0,2991.33,0,1
"260",260,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Não",0,3034.36,2,2
"261",261,1.8,75,23.1481481481481,"M","Doutorado","Exatas","Sim",1,2294.16,1,0
"262",262,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Não",0,2846.73,3,0
"263",263,1.8,75,23.1481481481481,"M","3º Grau","Exatas","Não",0,2829.01,3,1
"264",264,1.8,75,23.1481481481481,"F","2º Grau","Exatas","Não",0,3523.82,3,2
"265",265,1.8,75,23.1481481481481,"M","2º Grau","Exatas","Não",0,2741.14,0,2
"266",266,1.8,75,23.1481481481481,"M","PósDoc","Biológicas","Não",0,2509.55,3,0
"267",267,1.8,75,23.1481481481481,"F","1º Grau","Humanas","Sim",1,2977.79,0,2
"268",268,1.8,75,23.1481481481481,"F","Mestrado","Exatas","Não",0,3471,1,1
"269",269,1.8,75,23.1481481481481,"M","Mestrado","Humanas","Não",0,3430.09,0,1
"270",270,1.8,75,23.1481481481481,"M","3º Grau","Exatas","Sim",1,2559.37,3,1
"271",271,1.8,75,23.1481481481481,"M","3º Grau","Exatas","Não",0,3357.26,3,2
"272",272,1.8,75,23.1481481481481,"F","Doutorado","Biológicas","Sim",1,2498.17,3,0
"273",273,1.8,75,23.1481481481481,"M","PósDoc","Biológicas","Não",0,3076.98,1,0
"274",274,1.8,75,23.1481481481481,"M","2º Grau","Exatas","Sim",1,3176.07,3,2
"275",275,1.8,75,23.1481481481481,"M","3º Grau","Humanas","Não",0,2812.12,3,0
"276",276,1.8,75,23.1481481481481,"M","PósDoc","Humanas","Não",0,3388.69,3,0
"277",277,1.8,75,23.1481481481481,"M","Mestrado","Humanas","Sim",1,2820.46,1,2
"278",278,1.8,75,23.1481481481481,"M","3º Grau","Exatas","Não",0,2995.16,1,1
"279",279,1.8,75,23.1481481481481,"F","Mestrado","Humanas","Não",0,3273.31,1,2
"280",280,1.8,75,23.1481481481481,"M","2º Grau","Exatas","Não",0,2726.85,3,1
"281",281,1.8,75,23.1481481481481,"M","2º Grau","Humanas","Não",0,3183.12,1,2
"282",282,1.8,75,23.1481481481481,"F","1º Grau","Humanas","Não",0,3293.27,0,0
"283",283,1.8,75,23.1481481481481,"M","3º Grau","Biológicas","Sim",1,2848.43,2,0
"284",284,1.8,75,23.1481481481481,"F","2º Grau","Biológicas","Sim",1,2632.74,2,1
"285",285,1.8,75,23.1481481481481,"F","Mestrado","Exatas","Sim",1,2748.15,2,1
"286",286,1.8,75,23.1481481481481,"M","3º Grau","Biológicas","Não",0,2888.69,1,2
"287",287,1.8,75,23.1481481481481,"M","Mestrado","Humanas","Não",0,2790.36,3,0
"288",288,1.8,75,23.1481481481481,"M","Doutorado","Humanas","Não",0,3520.74,2,1
"289",289,1.8,75,23.1481481481481,"F","PósDoc","Exatas","Sim",1,3119.97,2,2
"290",290,1.8,75,23.1481481481481,"M","1º Grau","Exatas","Sim",1,3165.96,0,0
"291",291,1.8,75,23.1481481481481,"M","PósDoc","Biológicas","Sim",1,2795.63,0,1
